model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gpt-4.1-mini,2,N2P107,position paper,30,N1P31; SEED_18; SEED_68; N1P66; SEED_45; N0P54; SEED_98; SEED_61; N0P60; N1P70; SEED_11; N1P56; N1P90; N1P41; SEED_90; SEED_40; SEED_33; N1P72; SEED_57; N0P14; N1P32; N1P60; N1P102; SEED_24; N0P33; N1P85; N0P6; N0P20; N1P78; N0P65,N1P31; N1P66; N0P60; N1P78; SEED_98; SEED_61; SEED_57; SEED_24; SEED_45; SEED_68,10,,0,0,0.0
gpt-4.1-mini,2,N2P108,literature review,30,SEED_111; N0P47; SEED_105; SEED_9; SEED_74; N1P59; SEED_41; SEED_22; SEED_24; N1P47; N0P106; SEED_26; N1P56; N1P12; SEED_2; N0P59; N1P108; N0P17; N1P37; N0P56; N1P13; N0P110; SEED_48; SEED_112; SEED_16; N0P28; N0P77; N0P92; N0P61; SEED_99,N1P108; N1P56; N0P47; SEED_22; SEED_9; SEED_24; SEED_26; SEED_74; SEED_48; SEED_112,10,,0,0,0.0
gpt-4.1-mini,2,N2P109,literature review,30,N1P55; N0P5; N0P70; N0P23; SEED_106; N0P102; N1P110; SEED_25; SEED_24; SEED_30; N0P111; SEED_108; N1P18; N0P54; SEED_11; N1P7; N0P25; N1P87; SEED_8; N1P47; N0P56; N1P59; N1P27; N0P118; N0P67; N0P51; N1P13; N1P2; N1P16; N0P37,N1P55; N0P5; N1P18; N1P13; N1P7; N0P23; SEED_106; SEED_24; SEED_25; SEED_8,10,,0,0,0.0
gpt-4.1-mini,2,N2P11,position paper,30,SEED_53; SEED_101; SEED_112; N1P8; N0P119; N0P52; SEED_115; N1P88; SEED_47; SEED_70; N0P3; N1P15; N0P81; SEED_35; N1P5; SEED_54; N1P78; N0P84; N1P73; N1P111; SEED_88; N0P50; SEED_0; SEED_50; SEED_95; N0P21; N0P112; N0P69; N1P114; N0P15,N1P5; N1P78; SEED_47; N0P15; SEED_0; SEED_54; SEED_53; SEED_112; SEED_70; SEED_101,10,,0,0,0.0
gpt-4.1-mini,2,N2P110,position paper,30,N0P117; SEED_50; N1P6; N0P4; SEED_66; N1P44; N1P86; N1P89; SEED_42; SEED_24; N0P96; N0P83; N1P115; SEED_41; N0P38; N1P9; N0P33; N1P118; N1P36; N1P19; N1P0; N0P82; SEED_97; N0P97; N1P58; N0P58; SEED_56; N0P115; N1P94; N1P3,N0P117; N1P6; N1P118; N0P4; N1P86; N0P33; SEED_24; N1P89; SEED_50; N1P44,10,Evens(2023),1,1,0.0435
gpt-4.1-mini,2,N2P111,position paper,30,N1P0; N1P44; N1P42; N0P13; SEED_30; SEED_48; N0P58; N1P116; N1P10; N1P21; N1P73; N0P6; SEED_57; N1P66; N0P99; SEED_78; N0P116; SEED_108; N0P90; N1P48; N0P41; SEED_106; N1P61; N1P45; N0P103; N0P66; N0P119; N1P20; N1P99; N1P88,N1P0; N1P44; N1P42; SEED_57; SEED_30; N1P10; N0P99; N0P90; SEED_48; SEED_108,10,,0,0,0.0
gpt-4.1-mini,2,N2P112,position paper,30,SEED_90; SEED_96; N1P96; N0P36; N0P103; SEED_12; SEED_46; N1P54; N1P116; SEED_52; N0P40; N0P37; SEED_71; N1P21; N0P21; SEED_48; SEED_81; N1P50; SEED_50; N0P95; SEED_69; N1P86; N1P9; N0P81; N0P10; N0P111; N1P41; N1P110; SEED_37; N1P119,N1P96; N0P36; N0P81; N0P40; N0P103; N1P21; SEED_90; SEED_48; SEED_69; SEED_96,10,,0,0,0.0
gpt-4.1-mini,2,N2P113,position paper,30,N0P99; N1P80; N1P8; N1P71; N1P117; N1P45; N1P14; SEED_71; N1P22; SEED_1; SEED_66; N0P27; N1P99; N0P52; N0P38; SEED_13; N1P46; N0P79; N1P52; SEED_22; SEED_38; SEED_109; N1P48; N1P93; N1P2; N1P23; SEED_83; N1P73; N1P109; SEED_33,N0P99; N1P80; N1P8; N1P71; N1P117; N1P22; N0P27; SEED_22; SEED_13; N1P109,10,Benton(2022),1,1,0.0435
gpt-4.1-mini,2,N2P114,position paper,30,N0P111; N1P46; N0P0; N1P73; N0P52; N0P110; N1P102; N1P69; SEED_17; SEED_43; N0P67; SEED_29; N0P48; N1P97; SEED_68; SEED_87; N1P58; N1P12; N0P29; N0P30; N1P78; N0P93; N0P82; SEED_62; N1P70; SEED_75; SEED_53; SEED_91; N0P100; SEED_90,N0P111; N1P46; N1P73; N1P78; SEED_17; N0P52; N1P97; SEED_43; N0P82; SEED_90,10,Kiddd(2022),1,1,0.0556
gpt-4.1-mini,2,N2P115,literature review,30,N1P70; SEED_27; N0P78; N0P68; N1P18; N1P73; N0P111; SEED_90; SEED_49; SEED_20; SEED_81; N0P81; N0P11; SEED_94; SEED_58; N1P109; N0P73; SEED_7; SEED_57; N1P13; N1P88; N1P49; N0P45; N1P50; N1P4; N1P56; N1P57; N1P12; N1P60; N0P43,N1P13; N1P70; N1P109; SEED_27; SEED_20; N0P73; SEED_94; SEED_57; SEED_90; SEED_81,10,,0,0,0.0
gpt-4.1-mini,2,N2P116,literature review,30,N1P50; N1P80; N1P2; SEED_18; N1P116; N1P69; SEED_49; N0P112; N1P38; N0P76; N0P0; N1P99; N0P24; N1P85; N0P41; SEED_45; SEED_60; N0P63; N1P14; N1P37; N1P12; N1P0; SEED_92; N1P91; SEED_100; N1P8; N0P17; N1P96; N1P23; N0P92,N1P50; N1P80; N1P2; N1P38; N1P116; N1P85; N0P92; N0P76; N0P112; SEED_45,10,Chambers(2023),1,1,0.0455
gpt-4.1-mini,2,N2P117,position paper,30,N1P81; N0P33; N0P58; N1P23; N0P107; SEED_15; N0P3; N1P53; SEED_116; SEED_54; N1P74; N0P25; N1P30; N0P39; N1P44; SEED_37; SEED_18; SEED_107; SEED_52; SEED_59; SEED_68; N0P114; SEED_81; SEED_29; SEED_22; N0P2; N1P48; N0P113; N1P33; SEED_0,N1P81; N0P33; N1P23; N0P107; SEED_116; N1P74; N0P3; N1P33; N0P39; N1P44,10,,0,0,0.0
gpt-4.1-mini,2,N2P118,literature review,30,N1P1; SEED_85; N0P4; N0P100; N0P37; N1P113; N1P58; N1P39; N0P93; SEED_115; N0P52; N0P9; N0P70; SEED_35; N1P2; SEED_70; SEED_67; N1P50; N0P106; N0P86; SEED_14; SEED_50; N1P33; N1P71; SEED_102; N1P119; N1P49; N1P65; SEED_43; N1P37,N1P1; N0P4; N1P33; N1P119; N1P58; N1P71; N0P100; N1P2; SEED_85; SEED_43,10,Barners(2023),1,1,0.0435
gpt-4.1-mini,2,N2P119,literature review,30,N0P97; N1P26; N1P82; N0P94; N0P90; N0P99; N0P45; SEED_87; N0P58; N1P36; SEED_24; SEED_61; N0P47; SEED_2; N0P44; N1P99; N0P28; N0P92; N1P77; N1P8; SEED_72; N0P1; SEED_110; SEED_14; SEED_89; N0P43; N1P90; N1P59; N1P15; N1P48,N0P97; N1P26; N0P99; N0P92; SEED_61; N0P90; SEED_24; SEED_14; N1P90; N1P15,10,,0,0,0.0
gpt-4.1-mini,2,N2P12,position paper,30,SEED_66; N1P6; N1P66; SEED_68; N0P53; SEED_96; N1P88; N0P4; N1P50; N1P17; SEED_27; SEED_34; N1P58; N0P90; N1P59; SEED_86; N1P45; N1P12; SEED_10; SEED_28; N1P100; SEED_23; N0P94; N1P53; N0P78; N0P59; N0P98; SEED_78; N0P3; N0P7,N1P6; N1P66; N0P53; N1P53; SEED_23; N0P3; SEED_27; N0P94; SEED_68; SEED_34,10,,0,0,0.0
gpt-4.1-mini,2,N2P13,literature review,30,N1P39; N0P12; SEED_23; N1P69; N0P108; N1P15; N0P42; N1P86; N0P1; N1P18; N0P35; N0P37; N1P84; N1P38; N0P24; N1P83; N0P115; N0P87; N0P93; N1P77; SEED_78; N1P92; N0P70; N0P10; N0P39; SEED_112; N0P76; N0P95; SEED_101; SEED_90,N1P39; N1P18; N0P108; N0P37; N0P12; N0P39; N0P93; SEED_23; N1P83; N0P35,10,,0,0,0.0
gpt-4.1-mini,2,N2P14,position paper,30,N0P49; N0P89; N1P110; N0P100; N1P54; N1P2; SEED_93; SEED_42; SEED_5; SEED_108; N0P96; N1P75; SEED_59; N1P69; SEED_13; SEED_3; SEED_79; N0P12; SEED_40; N0P62; SEED_65; N0P84; N0P95; N1P6; SEED_11; N0P36; N1P98; N1P49; N0P63; SEED_55,N0P49; N0P89; N1P110; N1P2; N1P75; N1P54; N0P96; SEED_108; N0P100; SEED_3,10,,0,0,0.0
gpt-4.1-mini,2,N2P15,position paper,30,N1P97; N0P28; N1P114; N1P66; N1P111; N1P18; SEED_57; SEED_2; N1P99; SEED_26; SEED_88; N1P46; N1P119; N1P73; N1P100; N0P9; N0P8; SEED_42; N1P106; N0P48; SEED_16; SEED_81; N0P41; N0P77; N0P45; N1P33; SEED_0; N1P52; SEED_99; N0P105,N1P97; N1P114; SEED_26; N1P100; N1P73; N0P28; N1P66; N1P18; N0P77; N0P41,10,,0,0,0.0
gpt-4.1-mini,2,N2P16,literature review,30,N0P70; N0P114; SEED_101; N0P10; N0P90; SEED_61; N0P57; N0P48; N0P67; SEED_106; N0P103; N0P9; SEED_33; SEED_110; N1P99; N1P39; N0P43; N1P86; SEED_63; SEED_17; SEED_78; N0P117; N1P43; N1P37; N0P109; SEED_10; N0P51; N1P24; N0P52; N1P94,N0P70; N0P114; N0P57; SEED_61; N0P10; SEED_63; N0P90; N0P117; SEED_101; N0P67,10,,0,0,0.0
gpt-4.1-mini,2,N2P17,position paper,30,N0P78; N1P97; N0P70; SEED_115; SEED_52; SEED_1; SEED_24; N1P24; N0P14; N1P100; SEED_19; SEED_76; N1P39; N0P63; SEED_90; SEED_47; SEED_30; N1P36; N0P43; N0P97; N1P73; N1P107; N1P93; SEED_13; N0P116; N0P72; SEED_92; N1P38; N0P22; N1P5,N0P78; N1P5; N0P43; N1P97; SEED_13; N1P24; N0P22; SEED_24; N0P70; N1P73,10,,0,0,0.0
gpt-4.1-mini,2,N2P18,literature review,30,N0P7; N0P56; SEED_42; N0P12; N1P114; SEED_68; N1P79; N1P47; N0P68; SEED_44; SEED_5; SEED_110; N1P68; SEED_105; N0P16; SEED_0; N1P92; N1P0; N0P114; N1P46; SEED_40; N0P66; N1P95; N1P35; N0P67; SEED_54; N1P105; N1P29; SEED_103; N1P80,N0P7; N0P56; N1P105; N1P114; N0P12; SEED_0; N0P16; N1P79; N1P0; N0P114,10,,0,0,0.0
gpt-4.1-mini,2,N2P19,position paper,30,N1P26; SEED_78; N0P51; SEED_56; SEED_46; N0P22; SEED_66; N1P23; N1P8; N0P57; N1P38; N0P12; N0P48; N1P113; N1P106; SEED_49; N1P97; N1P88; N0P40; SEED_19; N1P33; SEED_108; N0P118; N0P113; N1P116; SEED_84; SEED_113; SEED_71; N1P63; N0P44,N1P26; N1P38; N0P22; N0P57; N1P8; N1P113; N1P33; N0P51; SEED_108; N0P44,10,,0,0,0.0
gpt-4.1-mini,2,N2P2,literature review,30,N1P49; N0P3; N0P44; N1P8; SEED_57; N0P113; SEED_76; SEED_105; N0P109; SEED_62; N1P68; SEED_29; N1P91; N1P12; N1P53; N0P84; N0P71; N0P25; N0P100; N1P61; SEED_80; SEED_119; N0P49; N0P40; N1P39; SEED_108; SEED_41; N0P77; SEED_111; SEED_73,N1P49; N0P3; N1P8; N1P91; N0P44; SEED_57; N0P84; N1P68; SEED_105; N0P100,10,,0,0,0.0
gpt-4.1-mini,2,N2P20,literature review,30,N0P56; SEED_47; SEED_4; N1P54; SEED_61; N0P71; SEED_95; SEED_81; N0P64; SEED_49; N1P26; SEED_15; SEED_16; SEED_101; N1P63; SEED_36; N0P47; N0P1; N0P24; N1P59; N0P119; N0P91; N1P23; N1P75; N0P43; SEED_9; N1P0; SEED_23; SEED_55; SEED_33,N0P56; N1P63; SEED_61; N0P47; SEED_47; SEED_23; SEED_4; SEED_49; SEED_55; SEED_33,10,,0,0,0.0
gpt-4.1-mini,2,N2P21,literature review,30,N1P32; SEED_23; N1P51; N1P4; SEED_29; N0P12; N0P95; N0P27; N1P15; N1P31; N0P0; SEED_3; N1P52; N1P84; N1P78; N0P9; N0P46; N1P23; N0P48; SEED_72; N1P19; N1P107; SEED_34; N1P119; N0P20; N0P50; N1P92; N0P102; N1P113; N1P109,N1P32; N1P51; N1P4; N0P12; SEED_23; SEED_72; N0P27; N1P31; N1P113; SEED_3,10,,0,0,0.0
gpt-4.1-mini,2,N2P22,position paper,30,SEED_76; N1P25; N1P119; SEED_116; SEED_32; N1P71; N1P29; N0P9; N0P36; N0P74; N0P27; SEED_114; N1P84; SEED_39; N1P39; N0P32; N1P50; N0P34; N1P36; SEED_90; N0P4; N1P68; SEED_16; SEED_63; N1P94; N0P119; SEED_99; N0P98; SEED_65; N1P98,N1P25; N1P119; N1P71; N0P27; SEED_63; SEED_32; SEED_90; SEED_116; SEED_65; N0P36,10,,0,0,0.0
gpt-4.1-mini,2,N2P23,literature review,30,SEED_45; SEED_49; SEED_104; N1P51; N0P32; SEED_24; N1P9; N0P91; N0P68; SEED_71; N1P94; SEED_58; SEED_118; SEED_42; SEED_43; N1P12; N1P91; SEED_86; SEED_31; N1P37; N1P4; SEED_90; N0P67; N1P100; N0P100; N0P75; SEED_117; N0P20; N0P25; SEED_82,N1P9; N1P91; SEED_58; N0P25; SEED_24; N0P67; SEED_49; SEED_104; SEED_118; SEED_90,10,,0,0,0.0
gpt-4.1-mini,2,N2P24,literature review,30,N1P89; N1P27; N0P101; N1P118; N0P24; N0P34; SEED_61; N0P0; N1P31; N1P56; N0P32; SEED_24; N1P109; N1P0; N0P115; N1P5; SEED_104; N0P5; N1P13; N1P69; SEED_76; SEED_112; N1P105; N0P86; N0P117; N0P35; N1P70; N1P10; N0P53; SEED_25,N1P89; N1P27; N0P101; N0P5; N1P13; SEED_61; N0P86; SEED_24; SEED_25; N0P24,10,,0,0,0.0
gpt-4.1-mini,2,N2P25,literature review,30,N1P53; N0P35; SEED_47; N1P47; SEED_71; N1P30; N0P72; N0P9; SEED_19; N1P78; N1P48; N1P26; SEED_48; SEED_11; N0P70; N0P103; SEED_52; N0P6; SEED_117; N0P2; N0P23; N0P107; N1P44; N1P75; N0P61; SEED_6; N1P96; N0P11; N1P70; N1P3,N1P53; N1P30; N1P78; N0P103; SEED_47; N0P70; N1P47; N0P72; N1P96; N0P6,10,,0,0,0.0
gpt-4.1-mini,2,N2P26,literature review,30,SEED_29; SEED_26; SEED_81; N0P58; N1P61; SEED_99; N1P36; N1P34; N0P111; SEED_51; SEED_118; N1P115; N1P73; SEED_11; SEED_94; SEED_104; SEED_117; SEED_73; N0P77; N1P27; N1P89; N0P4; SEED_25; N1P1; SEED_24; N1P4; N1P77; N0P108; N1P95; N0P84,N1P89; N0P58; N1P61; SEED_25; SEED_29; SEED_24; N1P4; SEED_51; SEED_26; SEED_118,10,Ferreira(2021),1,1,0.0435
gpt-4.1-mini,2,N2P27,position paper,30,N0P45; N0P91; N1P40; N1P16; N1P29; N0P34; SEED_107; N0P55; N1P43; SEED_62; SEED_100; SEED_69; N0P8; N0P87; N0P96; SEED_65; N0P85; N1P49; N1P111; N1P50; SEED_45; N1P20; SEED_119; N1P4; N0P63; N0P79; SEED_92; N0P90; SEED_19; N0P15,N0P45; N0P91; N1P40; N1P29; N1P49; N1P20; N1P16; N0P55; N0P87; N1P4,10,,0,0,0.0
gpt-4.1-mini,2,N2P28,literature review,30,N0P66; N0P60; SEED_7; SEED_73; SEED_19; N0P19; SEED_75; N0P16; N0P20; SEED_40; N0P39; N1P68; N1P67; N1P37; N1P52; SEED_34; N0P47; SEED_93; SEED_30; N1P119; N1P80; SEED_46; N1P18; N0P23; N1P59; N0P49; SEED_3; N1P27; N0P101; N1P118,N0P66; N0P16; N0P39; N1P119; N0P60; SEED_30; SEED_19; SEED_3; SEED_46; SEED_73,10,,0,0,0.0
gpt-4.1-mini,2,N2P29,position paper,30,N0P93; N1P23; N1P75; SEED_29; N0P25; N1P107; N0P45; SEED_116; N1P50; N1P81; N0P24; N1P39; N1P14; SEED_97; N0P11; SEED_2; N1P108; SEED_78; N0P100; N1P31; N0P6; N1P55; SEED_8; N1P70; SEED_3; SEED_17; SEED_74; N0P81; SEED_107; N1P30,N0P93; N1P23; N0P25; N1P107; N1P108; N1P31; SEED_8; N1P70; N0P100; SEED_107,10,,0,0,0.0
gpt-4.1-mini,2,N2P3,literature review,30,N0P36; SEED_86; SEED_40; SEED_95; N0P47; N0P100; N0P102; N0P101; N0P14; N0P97; N0P107; N1P27; SEED_93; N1P8; N0P105; N0P119; N0P17; N0P1; N0P113; N0P96; N0P73; SEED_36; SEED_29; N1P119; N0P104; N1P44; N0P76; SEED_56; N0P35; N1P88,N0P36; N0P47; N0P100; N0P102; N0P104; N1P8; N0P73; N1P27; N1P88; SEED_40,10,,0,0,0.0
gpt-4.1-mini,2,N2P30,literature review,30,SEED_84; SEED_64; N0P65; N1P85; N0P54; N1P118; N1P45; N0P21; N0P50; N0P9; SEED_30; N1P54; SEED_60; N0P71; N1P68; SEED_65; SEED_110; SEED_118; N1P104; N1P88; N1P78; N1P3; SEED_8; N1P84; N1P34; N1P111; SEED_79; N0P7; N0P25; SEED_62,N1P45; N0P65; N0P9; N1P78; N1P111; N1P85; N0P54; SEED_8; SEED_30; SEED_118,10,,0,0,0.0
gpt-4.1-mini,2,N2P31,position paper,30,N0P86; SEED_42; N1P4; SEED_68; N0P35; N0P44; N0P41; N1P108; SEED_108; SEED_19; N0P2; SEED_29; SEED_69; N0P18; N0P22; N0P81; N1P56; N1P82; N0P4; N0P68; SEED_71; SEED_57; SEED_112; N1P7; N0P72; SEED_17; SEED_89; N0P3; N0P88; SEED_117,N0P86; N1P4; N0P35; N0P22; SEED_68; SEED_69; SEED_57; SEED_108; SEED_42; SEED_19,10,,0,0,0.0
gpt-4.1-mini,2,N2P32,position paper,30,N0P84; N1P22; SEED_94; SEED_52; SEED_1; N0P88; N1P7; N0P106; N1P109; SEED_71; N0P41; N0P63; N0P111; N1P18; N0P33; N0P56; N0P52; SEED_36; N0P80; SEED_103; N0P105; N0P104; N0P92; N0P27; N1P94; N1P32; N0P31; N1P86; SEED_96; N1P99,N0P84; N1P22; N0P52; N1P32; SEED_94; N0P31; SEED_103; N1P7; SEED_96; N0P27,10,,0,0,0.0
gpt-4.1-mini,2,N2P33,position paper,30,N1P62; SEED_20; N1P52; N1P111; SEED_91; SEED_86; N0P45; N1P86; N1P44; N0P76; N0P112; SEED_7; SEED_103; SEED_5; SEED_67; SEED_76; N1P78; SEED_16; SEED_14; N0P1; N0P110; N1P116; SEED_75; N1P46; N1P12; N1P92; SEED_59; N1P38; SEED_107; N0P53,N1P62; N1P52; N1P111; N1P38; N0P45; N1P44; N1P12; SEED_86; N1P78; SEED_20,10,,0,0,0.0
gpt-4.1-mini,2,N2P34,literature review,30,N1P64; N0P12; SEED_65; SEED_55; N0P97; SEED_107; N1P40; SEED_115; N0P94; N1P61; N0P96; N0P21; N0P11; N1P113; N0P35; SEED_38; N1P33; N1P50; SEED_113; N0P95; N0P37; SEED_85; N0P10; SEED_60; N0P42; SEED_87; N1P70; SEED_94; SEED_56; N0P48,N1P64; N0P97; N1P33; N1P61; N0P35; N0P95; SEED_55; N0P11; N0P12; N0P48,10,,0,0,0.0
gpt-4.1-mini,2,N2P35,literature review,30,N0P36; N0P18; N1P15; N0P44; N0P5; SEED_21; N0P113; N1P18; N1P115; N0P117; N1P69; N1P29; SEED_9; N0P75; N0P53; N1P21; N1P25; N1P51; SEED_27; SEED_49; SEED_75; SEED_87; N0P91; SEED_13; N0P110; N1P78; N0P14; N1P114; SEED_47; N0P59,N0P36; N0P18; N1P15; N0P44; N0P5; N0P53; N1P29; N1P21; SEED_9; N0P117,10,,0,0,0.0
gpt-4.1-mini,2,N2P36,literature review,30,N0P16; SEED_39; N0P72; N0P80; N1P104; N1P84; N1P2; N0P27; N1P98; SEED_50; N0P64; SEED_21; N1P112; N0P55; SEED_6; N0P5; SEED_9; N0P79; N1P4; N0P62; N1P37; N1P110; N0P20; N1P24; N0P58; N0P48; N1P7; N0P6; SEED_58; N0P78,N0P16; N0P72; N0P80; N1P104; N0P27; SEED_58; SEED_6; N0P5; N1P2; N1P24,10,,0,0,0.0
gpt-4.1-mini,2,N2P37,literature review,30,N0P19; N1P107; N0P67; N0P38; N0P51; SEED_2; N1P40; SEED_0; N0P115; N1P90; N1P101; N1P4; N0P35; N1P35; N0P70; N0P96; N0P72; N1P51; SEED_3; N0P62; N0P58; N0P34; SEED_62; N0P28; N0P29; SEED_25; SEED_78; N1P116; N1P46; N0P0,N0P19; N1P107; N1P4; N0P0; N1P51; N1P35; SEED_0; N0P62; SEED_25; N0P67,10,,0,0,0.0
gpt-4.1-mini,2,N2P38,position paper,30,N0P83; N0P72; SEED_83; SEED_9; N1P25; N1P5; N0P15; N1P107; SEED_119; N1P16; SEED_78; N0P43; N0P78; N1P62; N0P106; SEED_104; SEED_88; N0P77; N0P59; SEED_85; SEED_46; N0P69; SEED_52; N1P24; SEED_47; N0P93; SEED_57; N0P91; N0P47; N0P14,N0P83; N1P25; N1P16; N0P72; SEED_9; SEED_47; N0P93; SEED_88; SEED_83; SEED_85,10,,0,0,0.0
gpt-4.1-mini,2,N2P39,position paper,30,N0P73; N1P106; N1P91; SEED_51; N1P9; SEED_55; N0P71; N1P89; N0P28; SEED_23; N1P5; N1P109; N0P87; N1P18; N0P119; SEED_118; SEED_83; N1P51; SEED_61; N1P114; N1P38; N0P9; SEED_14; SEED_0; N0P95; N1P62; SEED_52; SEED_58; N0P32; N1P64,N1P9; N0P73; N0P32; N1P91; N1P114; SEED_58; SEED_61; SEED_0; SEED_23; N0P95,10,,0,0,0.0
gpt-4.1-mini,2,N2P4,position paper,30,N0P14; N1P30; N1P9; SEED_98; SEED_32; SEED_112; SEED_45; SEED_103; SEED_1; SEED_64; N1P31; SEED_71; N0P23; SEED_92; SEED_72; N0P66; N0P69; N1P83; N0P40; N1P101; N1P102; N0P88; SEED_80; N0P48; N0P83; N1P115; SEED_4; N1P103; SEED_76; SEED_97,N1P30; N1P31; SEED_98,3,,0,0,0.0
